Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250050-València - Bulevard Sud
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
29/01/2024	13	3	13	28	47	31
29/01/2024	14	3	10	21	37	46
29/01/2024	15	3	9	19	33	49
29/01/2024	16	3	7	19	31	52
29/01/2024	17	3	9	23	36	49
29/01/2024	18	3	12	32	51	39
29/01/2024	19	3	11	33	49	36
29/01/2024	20	3	10	34	49	33
29/01/2024	21	3	5	27	35	34
29/01/2024	22	3	4	21	27	33
29/01/2024	23	3	4	31	37	23
30/01/2024	00	3	4	38	43	12
30/01/2024	01	3	4	27	32	18
30/01/2024	02	3	4	18	23	21
30/01/2024	03	3	3	21	27	12
30/01/2024	04	3	3	21	26	12
30/01/2024	05	3	4	26	32	8
30/01/2024	06	3	10	33	48	3
30/01/2024	07	3	66	39	140	3
